STRUCTURE;STRUCTURE_ID;STRUCTURE_NAME;ACTION;REF_AREA;Reference area;FREQ;Frequency of observation;MEASURE;Measure.1;UNIT_MEASURE;Unit of measure;AGE;Age.1;SEX;Sex.1;SOCIO_ECON_STATUS;Socio-economic status;DEATH_CAUSE;Cause of death;CALC_METHODOLOGY;Calculation methodology;GESTATION_THRESHOLD;Gestation period threshold;HEALTH_STATUS;Health status;DISEASE;Disease.1;CANCER_SITE;Cancer site;TIME_PERIOD;Time period;OBS_VALUE;Observation value;DECIMALS;Decimals.1;OBS_STATUS;Observation status;OBS_STATUS2;Observation status 2;OBS_STATUS3;Observation status 3;UNIT_MULT;Unit multiplier
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;BGR;Bulgaria;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2014;;31257;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;BGR;Bulgaria;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2015;;31208;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;BGR;Bulgaria;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2017;;30021;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;BGR;Bulgaria;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2019;;30132;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;BGR;Bulgaria;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2020;;38191;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;BGR;Bulgaria;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2022;;33180;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;HRV;Croatia;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2001;;20235;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;HRV;Croatia;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2002;;19886;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;HRV;Croatia;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2003;;20249;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;HRV;Croatia;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2004;;19056;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;HRV;Croatia;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2006;;18155;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;HRV;Croatia;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2007;;18070;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;HRV;Croatia;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2008;;17862;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;HRV;Croatia;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2010;;16937;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;HRV;Croatia;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2011;;16084;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;HRV;Croatia;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2012;;15673;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;HRV;Croatia;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2016;;14338;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;HRV;Croatia;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2017;;14387;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;HRV;Croatia;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2018;;14552;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;HRV;Croatia;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2020;;15996;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;HRV;Croatia;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2021;;18496;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;PER;Peru;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2001;;36289;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;PER;Peru;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2002;;35721;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;PER;Peru;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2005;;43878;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;PER;Peru;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2006;;39132;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;PER;Peru;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2007;;40309;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;PER;Peru;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2009;;43343;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;PER;Peru;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2010;;42575;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;PER;Peru;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2011;;40612;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;PER;Peru;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2013;;42972;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;PER;Peru;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2015;;38055;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;PER;Peru;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2016;;36776;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;PER;Peru;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2021;;131637;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;PER;Peru;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2022;;61983;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;ROU;Romania;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2000;;126749;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;ROU;Romania;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2004;;120287;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;ROU;Romania;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2005;;117799;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;ROU;Romania;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2006;;113415;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;ROU;Romania;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2007;;109436;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;ROU;Romania;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2011;;96556;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;ROU;Romania;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2012;;95365;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;ROU;Romania;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2015;;90073;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;ROU;Romania;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2016;;89821;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;ROU;Romania;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2017;;89926;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;ROU;Romania;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2019;;90737;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;ROU;Romania;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2020;;107985;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;ROU;Romania;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2022;;97033;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;ZAF;South Africa;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2000;;243601;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;ZAF;South Africa;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2001;;266562;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;ZAF;South Africa;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2003;;330550;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;ZAF;South Africa;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2004;;341070;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;ZAF;South Africa;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2006;;354428;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;ZAF;South Africa;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2009;;326123;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;ZAF;South Africa;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2011;;282178;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;ZAF;South Africa;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2014;;246263;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;ZAF;South Africa;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2015;;243505;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;ZAF;South Africa;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2016;;243661;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;ZAF;South Africa;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2018;;238074;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;ZAF;South Africa;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2019;;237640;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;ZAF;South Africa;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2020;;253927;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;THA;Thailand;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2000;;131037;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;THA;Thailand;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2002;;157107;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;THA;Thailand;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2003;;172775;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;THA;Thailand;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2004;;170397;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;THA;Thailand;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2005;;160151;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;THA;Thailand;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2006;;157420;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;THA;Thailand;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2007;;155261;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;THA;Thailand;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2008;;155283;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;THA;Thailand;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2009;;151829;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;THA;Thailand;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2010;;156930;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;THA;Thailand;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2011;;160953;;;;;;;;;;;
DATAFLOW;OECD.ELS.HD:DSD_HEALTH_STAT@DF_AM(1.0);Avoidable mortality;I;THA;Thailand;A;Annual;AVM;Avoidable mortality;DT;Deaths;_T;Total;_T;Total;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;_Z;Not applicable;2012;;164081;;;;;;;;;;;
